,ACLX
% Below High,0.19579999999999997
% Held by Institutions,0.9431
52-Wk Range,['6.04 - 26.91']
Annual Dividend $,
Annual Dividend %,
Ask,21.66
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,21.65
Bid Size,100.0
Closing Price,21.64
Day Change $,0.75
Day Change %,0.0359
Day High,21.72
Day Low,20.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.15
Ex-dividend Date,No dividend
Historical Volatility,0.909
Last (size),191.0
Last (time),1:00p ET 11/25/22
Market Cap,949.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,20.89
Shares Outstanding,43.9M
Short Interest,0.0788
Today's Open,20.91
Volume,115508.0
Volume 10-day Avg,465058.0
Volume Past Day,(Light)
