,ACLX
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),4.01566
Price/Cash Flow (TTM),
5yr Low,6.04
5yr High,26.91
5yr Avg Return,0.1389
Short Int Current Month,2953527.0
Short Int Prev Month,2725255.0
Short Int Pct of Float,0.078796
Days to Cover,5.78353
Float,39.94862
Shares Outstanding,43.85389
Institutions Holding Shares,101.0
% Held by Institutions,0.9430700000000001
FCF Growth 5yr,0.18097273784998688
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
