,HCM
% Above Low,0.44930000000000003
% Held by Institutions,0.2324
52-Wk Range,['7.39 - 36.37']
Annual Dividend $,
Annual Dividend %,
Ask,11.6
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,1.0
Bid,10.71
Bid Size,900.0
Closing Price,10.71
Day Change $,0.26
Day Change %,0.024900000000000002
Day High,10.92
Day Low,10.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.5
Ex-dividend Date,No dividend
Historical Volatility,0.8540000000000001
Last (size),742.0
Last (time),1:00p ET 11/25/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.45
Shares Outstanding,173.0M
Short Interest,0.0305
Today's Open,10.42
Volume,384757.0
Volume 10-day Avg,492870.0
Volume Past Day,(Light)
