,HCM
Price/Earnings (TTM),
Price/Sales (TTM),4.70306
Price/Book (MRQ),2.31569
Price/Cash Flow (TTM),
5yr Low,7.39
5yr High,43.94
5yr Avg Return,-0.07916666666666668
Short Int Current Month,2519011.0
Short Int Prev Month,2806471.0
Short Int Pct of Float,0.0304938
Days to Cover,6.13767
Float,88.72072
Shares Outstanding,172.9551
Institutions Holding Shares,187.0
% Held by Institutions,0.23240200000000003
FCF Growth 5yr,0.40591592171577834
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
