,WTFC
% Above Low,0.1549
% Held by Institutions,0.9153
52-Wk Range,['76.13 - 105.56']
Annual Dividend $,1.36
Annual Dividend %,0.0151
Ask,92.76
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,1.2
Bid,68.0
Bid Size,600.0
Closing Price,87.92
Day Change $,-1.85
Day Change %,-0.0206
Day High,88.98
Day Low,87.68
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",7.35
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.326
Last (size),7.0
Last (time),4:00p ET 11/28/22
Market Cap,5.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.21
Prev Close,89.77
Shares Outstanding,60.8M
Short Interest,0.013000000000000001
Today's Open,88.85
Volume,256972.0
Volume 10-day Avg,378660.0
Volume Past Day,(Light)
