,FRC
Price/Earnings (TTM),14.79793
Price/Sales (TTM),3.92133
Price/Book (MRQ),1.68548
Price/Cash Flow (TTM),17.92082
5yr Low,70.06
5yr High,222.86
5yr Avg Return,0.09049999999999998
EPS Growth 5yr,0.1431104
Revenue Growth 5yr,0.1722563
Dividend Growth 5yr,0.0642204
Short Int Current Month,3082287.0
Short Int Prev Month,1733170.0
Short Int Pct of Float,0.0169674
Days to Cover,1.18782
Float,181.697
Shares Outstanding,182.9254
Institutions Holding Shares,1022.0
% Held by Institutions,0.9496410000000001
FCF Growth 5yr,0.9429837640821735
