,FRC
Next Earnings Announcement,2023-01-12 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.08344549125168244
Growth 1yr High Est,0.0613810741687979
Growth 1yr Consensus Est,0.07241328271024017
Growth 2yr Low Est,-0.054550546299624636
Growth 2yr High Est,0.042738729855483215
Growth 2yr Consensus Est,-0.00590590822207071
Growth 5yr Low Est,0.08359180264531146
Growth 5yr High Est,0.13734930663022665
Growth 5yr Consensus Est,0.11047055463776906
Growth 5yr Actual/Est,0.0934261686167748
Growth 3yr Historic,0.10979163908380773
