,FRC
% Above Low,0.1624
% Held by Institutions,0.9495999999999999
52-Wk Range,['106.86 - 217.36']
Annual Dividend $,1.08
Annual Dividend %,0.0087
Ask,165.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,104.88
Bid Size,100.0
Closing Price,124.21
Day Change $,0.09
Day Change %,0.0007000000000000001
Day High,124.73
Day Low,123.43
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",8.39
Ex-dividend,2022-10-26 00:00:00
Ex-dividend Date,10/26/22
Historical Volatility,0.418
Last (size),4500.0
Last (time),5:00p ET 11/25/22
Market Cap,22.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.8
Prev Close,124.12
Shares Outstanding,182.9M
Short Interest,0.017
Today's Open,124.21
Volume,455883.0
Volume 10-day Avg,1409559.0
Volume Past Day,(Light)
