,VWE
Price/Earnings (TTM),
Price/Sales (TTM),0.59554
Price/Book (MRQ),0.50291
Price/Cash Flow (TTM),7.90712
5yr Low,2.13
5yr High,13.48
5yr Avg Return,-0.19296666666666668
Short Int Current Month,1473616.0
Short Int Prev Month,1629717.0
Short Int Pct of Float,0.0442887
Days to Cover,4.11303
Float,33.18524
Shares Outstanding,61.69105
Institutions Holding Shares,112.0
% Held by Institutions,0.517004
FCF Growth 5yr,-0.40749678067055695
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
