,PRGS
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.10869565217391308
Growth 1yr High Est,0.11351351351351346
Growth 1yr Consensus Est,0.11110458284371327
Growth 2yr Low Est,0.07150468883205452
Growth 2yr High Est,0.09316452374704798
Growth 2yr Consensus Est,0.08233460628955125
Growth 5yr Low Est,0.12591863798814112
Growth 5yr High Est,0.13727775059532848
Growth 5yr Consensus Est,0.1315981942917348
Growth 5yr Actual/Est,0.12916378868694928
Growth 3yr Historic,0.10028151730609597
