,PRGS
Price/Earnings (TTM),27.33772
Price/Sales (TTM),3.90651
Price/Book (MRQ),6.2276
Price/Cash Flow (TTM),14.52258
5yr Low,28.09
5yr High,53.99
5yr Avg Return,0.04278333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.055616000000000006
Dividend Growth 5yr,0.4113594
Short Int Current Month,2611978.0
Short Int Prev Month,2742493.0
Short Int Pct of Float,0.0617697
Days to Cover,10.81063
Float,42.28464
Shares Outstanding,42.99832
Institutions Holding Shares,358.0
% Held by Institutions,1.031212
FCF Growth 5yr,0.3831621474503803
