,FCX
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.25259515570934254
Growth 1yr High Est,-0.16770186335403725
Growth 1yr Consensus Est,-0.2101485095316899
Growth 2yr Low Est,-0.49435313341022685
Growth 2yr High Est,0.0392833966811903
Growth 2yr Consensus Est,-0.22753486836451828
Growth 5yr Low Est,0.1303875358589891
Growth 5yr High Est,2.1101471628214696
Growth 5yr Consensus Est,1.1202673493402293
Growth 5yr Actual/Est,7.567570941967541
Growth 3yr Historic,7.699074074074074
