,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Neutral,0.02,,,-0.1,,0.12,,0.009999999999999995,0.02,,
Year ending 12/2020,Neutral,0.54,,26.0,0.39,-4.9,0.61,4.083333333333333,0.5,0.54,26.0,-0.40833333333333366
Year ending 12/2021,Neutral,3.13,,4.796296296296296,2.89,6.410256410256411,3.22,4.278688524590164,3.055,3.13,4.796296296296296,5.344472467423287
Year ending 12/2022,Neutral,,2.29,0.0,2.16,-0.25259515570934254,2.68,-0.16770186335403725,2.29,2.29,-0.2683706070287539,-0.2101485095316899
Year ending 12/2023,Neutral,,1.7,0.0,0.57,-0.7361111111111112,3.34,0.24626865671641784,1.7,1.7,-0.25764192139737996,-0.24492122719734666
