,FCX
% Above Low,0.498
% Held by Institutions,0.759
52-Wk Range,['24.80 - 51.99']
Annual Dividend $,0.6
Annual Dividend %,0.016200000000000003
Ask,39.0
Ask Size,300.0
B/A Ratio,2.3333333333333335
B/A Size,700x300
Beta,2.0
Bid,37.15
Bid Size,700.0
Closing Price,37.15
Day Change $,-0.89
Day Change %,-0.023399999999999997
Day High,38.04
Day Low,37.09
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",2.64
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.531
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,53.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.07
Prev Close,38.04
Shares Outstanding,1.4B
Short Interest,0.0184
Today's Open,37.88
Volume,5219807.0
Volume 10-day Avg,13074697.0
Volume Past Day,(Light)
