,TXN
% Below High,0.1346
% Held by Institutions,0.8306
52-Wk Range,['144.46 - 199.90']
Annual Dividend $,4.96
Annual Dividend %,0.027999999999999997
Ask,173.37
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,172.34
Bid Size,100.0
Closing Price,173.0
Day Change $,-4.07
Day Change %,-0.023
Day High,176.03
Day Low,172.38
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",9.55
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.318
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,157.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.54
Prev Close,177.07
Shares Outstanding,907.6M
Short Interest,0.0216
Today's Open,175.71
Volume,5358814.0
Volume 10-day Avg,5244702.0
Volume Past Day,(Average)
