,TXN
Price/Earnings (TTM),18.54389
Price/Sales (TTM),7.95957
Price/Book (MRQ),11.10731
Price/Cash Flow (TTM),16.30848
5yr Low,87.7
5yr High,202.26
5yr Avg Return,0.11025
EPS Growth 5yr,0.18887530000000002
Revenue Growth 5yr,0.0653015
Dividend Growth 5yr,0.20749849999999997
Short Int Current Month,19541578.0
Short Int Prev Month,20713089.0
Short Int Pct of Float,0.02158
Days to Cover,3.2296
Float,905.7175
Shares Outstanding,907.5717
Institutions Holding Shares,2633.0
% Held by Institutions,0.830597
FCF Growth 5yr,0.21556608313952985
