,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Neutral,5.24,,,5.07,,5.21,,5.140000000000001,5.24,,
Year ending 12/2020,Positive Surprise,5.81,,0.1087786259541983,,0.0,,0.0,5.5,5.81,0.1087786259541983,0.0
Year ending 12/2021,Neutral,8.26,,0.42168674698795194,7.83,0.544378698224852,8.0,0.5355086372360844,7.915,8.26,0.42168674698795194,0.5399436677304682
Year ending 12/2022,Neutral,,9.27,0.0,9.14,0.16730523627075367,9.42,0.1775,9.27,9.27,0.12227602905569013,0.17240261813537683
Year ending 12/2023,Neutral,,7.98,0.0,6.94,-0.24070021881838077,9.86,0.04670912951167727,7.98,7.98,-0.13915857605177984,-0.09699554465335175
