,NEO
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,1.6
Growth 1yr High Est,1.652173913043478
Growth 1yr Consensus Est,1.626086956521739
Growth 2yr Low Est,0.8320512820512821
Growth 2yr High Est,0.5883820384889522
Growth 2yr Consensus Est,0.7102166602701172
Growth 5yr Low Est,0.8320512820512821
Growth 5yr High Est,0.5883820384889522
Growth 5yr Consensus Est,0.7102166602701171
Growth 5yr Actual/Est,-0.5082261578466513
Growth 3yr Historic,-0.8290322580645162
