,NEO
Price/Earnings (TTM),
Price/Sales (TTM),2.60867
Price/Book (MRQ),1.28188
Price/Cash Flow (TTM),
5yr Low,6.0
5yr High,61.57
5yr Avg Return,0.24909999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.1587838
Dividend Growth 5yr,
Short Int Current Month,6100299.0
Short Int Prev Month,5574278.0
Short Int Pct of Float,0.0500057
Days to Cover,3.52729
Float,122.2381
Shares Outstanding,126.3033
Institutions Holding Shares,326.0
% Held by Institutions,0.891129
FCF Growth 5yr,0.17239877239877244
