,NEO
% Above Low,0.71
% Held by Institutions,0.8911
52-Wk Range,['6.00 - 38.17']
Annual Dividend $,
Annual Dividend %,
Ask,10.75
Ask Size,100.0
Ask close,12.55
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,9.29
Bid Size,200.0
Bid close,7.83
Change Since Close,-0.06| |(-0.58%)
Closing Price,10.26
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.32
Ex-dividend Date,No dividend
Historical Volatility,0.907
Last (size),2.0
Last (time),1:00p ET 11/25/22
Last Trade,10.2
Market Cap,1.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,10.26
Shares Outstanding,126.3M
Short Interest,0.05
Today's Open,
Volume,3.0
Volume 10-day Avg,1268595.0
Volume Past Day,(Light)
