,BLBD
Price/Earnings (TTM),
Price/Sales (TTM),0.48876
Price/Book (MRQ),16.32499
Price/Cash Flow (TTM),
5yr Low,7.14
5yr High,28.9
5yr Avg Return,-0.06441666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.060003
Dividend Growth 5yr,
Short Int Current Month,568563.0
Short Int Prev Month,672565.0
Short Int Pct of Float,0.0262749
Days to Cover,5.27874
Float,21.63904
Shares Outstanding,32.02491
Institutions Holding Shares,113.0
% Held by Institutions,0.9113859999999999
FCF Growth 5yr,0.6424569843117903
