,BLBD
% Above Low,0.5725
% Held by Institutions,0.9114
52-Wk Range,['7.14 - 22.74']
Annual Dividend $,
Annual Dividend %,
Ask,13.2
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.3
Bid,9.75
Bid Size,300.0
Closing Price,11.22
Day Change $,-0.13
Day Change %,-0.0115
Day High,11.45
Day Low,11.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.81
Ex-dividend Date,No dividend
Historical Volatility,0.5670000000000001
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,359.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,11.35
Shares Outstanding,32.0M
Short Interest,0.0263
Today's Open,11.27
Volume,28190.0
Volume 10-day Avg,87635.0
Volume Past Day,(Light)
