,MOH
% Below High,0.1255
% Held by Institutions,0.9670000000000001
52-Wk Range,['249.78 - 374.00']
Annual Dividend $,
Annual Dividend %,
Ask,345.0
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,327.08
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",14.34
Ex-dividend Date,No dividend
Historical Volatility,0.304
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,19.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",22.82
Prev Close,327.08
Shares Outstanding,58.4M
Short Interest,0.0183
Today's Open,
Volume,228163.0
Volume 10-day Avg,547889.0
Volume Past Day,(Light)
