,MOH
Price/Earnings (TTM),22.81585
Price/Sales (TTM),0.61301
Price/Book (MRQ),6.23829
Price/Cash Flow (TTM),19.04434
5yr Low,71.07
5yr High,374.0
5yr Avg Return,0.2999333333333334
EPS Growth 5yr,0.6467763
Revenue Growth 5yr,0.0932568
Dividend Growth 5yr,
Short Int Current Month,1059710.0
Short Int Prev Month,1032722.0
Short Int Pct of Float,0.0183147
Days to Cover,1.98167
Float,57.82642
Shares Outstanding,58.4
Institutions Holding Shares,825.0
% Held by Institutions,0.966956
FCF Growth 5yr,0.16563474089695282
