,MOH
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.33458646616541343
Growth 1yr High Est,0.3200589970501473
Growth 1yr Consensus Est,0.32732273160778036
Growth 2yr Low Est,0.21658900773059409
Growth 2yr High Est,0.2186887164021687
Growth 2yr Consensus Est,0.2176388620663814
Growth 5yr Low Est,0.14843411992114347
Growth 5yr High Est,0.14908794794467412
Growth 5yr Consensus Est,0.1487610339329088
Growth 5yr Actual/Est,0.15246642485518996
Growth 3yr Historic,0.04779776576950212
