,PINS
Price/Earnings (TTM),180.3811
Price/Sales (TTM),6.11431
Price/Book (MRQ),5.38137
Price/Cash Flow (TTM),177.9496
5yr Low,10.1
5yr High,89.9
5yr Avg Return,0.3777499999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.5387251
Dividend Growth 5yr,
Short Int Current Month,31253721.0
Short Int Prev Month,32395023.0
Short Int Pct of Float,0.0536843
Days to Cover,2.15377
Float,582.7232
Shares Outstanding,678.2309
Institutions Holding Shares,881.0
% Held by Institutions,0.852147
FCF Growth 5yr,0.006647122894074838
