,PINS
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.5368421052631579
Growth 1yr High Est,-0.32203389830508466
Growth 1yr Consensus Est,-0.4294380017841213
Growth 2yr Low Est,-0.26842105263157895
Growth 2yr High Est,-0.03601694915254233
Growth 2yr Consensus Est,-0.15221900089206064
Growth 5yr Low Est,-0.26842105263157895
Growth 5yr High Est,-0.03601694915254233
Growth 5yr Consensus Est,-0.15221900089206064
Growth 5yr Actual/Est,inf
Growth 3yr Historic,inf
