,PINS
% Above Low,0.5242
% Held by Institutions,0.8521
52-Wk Range,['16.14 - 43.24']
Annual Dividend $,
Annual Dividend %,
Ask,24.6
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,1.0
Bid,24.59
Bid Size,800.0
Day Change $,-0.39
Day Change %,-0.015600000000000001
Day High,24.95
Day Low,24.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.14
Ex-dividend Date,No dividend
Historical Volatility,0.783
Last (size),100.0
Last (time),10:52a ET 11/28/22
Market Cap,16.7B
"P/E Ratio (TTM, GAAP)",180.38
Prev Close,24.99
Price,24.6
Shares Outstanding,678.2M
Short Interest,0.0537
Today's Open,24.65
Volume Past Day,(Light)
