,FRME
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.0026385224274406704
Growth 1yr High Est,-0.018041237113401998
Growth 1yr Consensus Est,-0.010339879770421334
Growth 2yr Low Est,0.0939188340243749
Growth 2yr High Est,0.13008699299185544
Growth 2yr Consensus Est,0.11200291350811517
Growth 5yr Low Est,0.09680118916408617
Growth 5yr High Est,0.1181684964959277
Growth 5yr Consensus Est,0.10748484283000694
Growth 5yr Actual/Est,0.12239459002601602
Growth 3yr Historic,0.06236127954602655
