,FRME
% Below High,0.054900000000000004
% Held by Institutions,0.7284999999999999
52-Wk Range,['34.07 - 46.12']
Annual Dividend $,1.28
Annual Dividend %,0.0294
Ask,69.72
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,37.46
Bid Size,200.0
Closing Price,43.59
Day Change $,0.01
Day Change %,0.0002
Day High,43.86
Day Low,43.43
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",3.51
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.275
Last (size),27.0
Last (time),1:00p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.41
Prev Close,43.58
Shares Outstanding,59.6M
Short Interest,0.0088
Today's Open,43.78
Volume,59317.0
Volume 10-day Avg,141765.0
Volume Past Day,(Light)
