,FRME
Price/Earnings (TTM),12.41258
Price/Sales (TTM),4.45985
Price/Book (MRQ),1.37023
Price/Cash Flow (TTM),12.39064
5yr Low,21.18
5yr High,50.65
5yr Avg Return,0.014966666666666663
EPS Growth 5yr,0.1401316
Revenue Growth 5yr,0.1201052
Dividend Growth 5yr,0.1591428
Short Int Current Month,516381.0
Short Int Prev Month,719368.0
Short Int Pct of Float,0.0087997
Days to Cover,3.47394
Float,58.70856
Shares Outstanding,59.56263
Institutions Holding Shares,280.0
% Held by Institutions,0.728502
FCF Growth 5yr,
