,TSN
% Above Low,0.0412
% Held by Institutions,0.8388
52-Wk Range,['62.94 - 100.72']
Annual Dividend $,1.92
Annual Dividend %,0.0285
Ask,65.85
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,65.5
Bid Size,100.0
Change Since Close,0.01| |(0.02%)
Closing Price,65.53
Day Change $,-1.8
Day Change %,-0.026699999999999998
Day High,66.7
Day Low,64.79
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.91
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.273
Last (size),280.0
Last (time),7:00p ET 11/28/22
Last Trade,65.54
Market Cap,23.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.55
Prev Close,67.33
Shares Outstanding,359.6M
Short Interest,0.013999999999999999
Today's Open,65.87
Volume,4496862.0
Volume 10-day Avg,3893020.0
Volume Past Day,(Above Average)
