,IGMS
% Above Low,0.6803
% Held by Institutions,0.6064
52-Wk Range,['12.67 - 55.71']
Annual Dividend $,
Annual Dividend %,
Ask,28.0
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,
Bid,18.89
Bid Size,700.0
Closing Price,21.29
Day Change $,-0.81
Day Change %,-0.036699999999999997
Day High,21.9
Day Low,20.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.68
Ex-dividend Date,No dividend
Historical Volatility,1.2770000000000001
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,911.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,22.1
Shares Outstanding,42.8M
Short Interest,0.19870000000000002
Today's Open,21.9
Volume,73902.0
Volume 10-day Avg,368315.0
Volume Past Day,(Light)
