,IGMS
Price/Earnings (TTM),
Price/Sales (TTM),1308.144
Price/Book (MRQ),2.77676
Price/Cash Flow (TTM),
5yr Low,12.67
5yr High,133.0
5yr Avg Return,0.36307500000000004
Short Int Current Month,3559170.0
Short Int Prev Month,3373504.0
Short Int Pct of Float,0.1986616
Days to Cover,10.86239
Float,17.94944
Shares Outstanding,42.82651
Institutions Holding Shares,143.0
% Held by Institutions,0.60637
FCF Growth 5yr,-1.3164951639745015
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
