,ERII
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.33333333333333326
Growth 1yr High Est,-0.30000000000000004
Growth 1yr Consensus Est,-0.31666666666666665
Growth 2yr Low Est,-0.30729166666666663
Growth 2yr High Est,-0.23571428571428577
Growth 2yr Consensus Est,-0.2715029761904762
Growth 5yr Low Est,-0.20486111111111108
Growth 5yr High Est,-0.15714285714285717
Growth 5yr Consensus Est,-0.18100198412698412
Growth 5yr Actual/Est,0.367140522875817
Growth 3yr Historic,0.3144444444444444
