,ERII
% Below High,0.1545
% Held by Institutions,0.8411
52-Wk Range,['16.92 - 26.34']
Annual Dividend $,
Annual Dividend %,
Ask,23.5
Ask Size,20000.0
B/A Ratio,0.01
B/A Size,200x20000
Beta,1.1
Bid,19.9
Bid Size,200.0
Closing Price,22.27
Day Change $,0.07
Day Change %,0.0032
Day High,22.68
Day Low,22.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.27
Ex-dividend Date,No dividend
Historical Volatility,0.49100000000000005
Last (size),43.0
Last (time),12:59p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",83.38
Prev Close,22.2
Shares Outstanding,56.0M
Short Interest,0.0574
Today's Open,22.24
Volume,218236.0
Volume 10-day Avg,372573.0
Volume Past Day,(Light)
