,RIVN
Price/Earnings (TTM),
Price/Sales (TTM),25.92548
Price/Book (MRQ),1.7733
Price/Cash Flow (TTM),
5yr Low,19.25
5yr High,179.47
5yr Avg Return,-0.3779
Short Int Current Month,46074371.0
Short Int Prev Month,44119669.0
Short Int Pct of Float,0.06480749999999999
Days to Cover,3.04766
Float,801.3713
Shares Outstanding,920.9558
Institutions Holding Shares,750.0
% Held by Institutions,0.6862229999999999
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
