,RIVN
% Above Low,0.4987
% Held by Institutions,0.6862
52-Wk Range,['19.25 - 126.75']
Annual Dividend $,
Annual Dividend %,
Ask,28.86
Ask Size,200.0
B/A Ratio,4.0
B/A Size,800x200
Beta,
Bid,28.84
Bid Size,800.0
Day Change $,-0.68
Day Change %,-0.023
Day High,29.56
Day Low,28.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-17.6
Ex-dividend Date,No dividend
Historical Volatility,0.9
Last (size),100.0
Last (time),12:49p ET 11/28/22
Market Cap,26.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,29.53
Price,28.85
Shares Outstanding,921.0M
Short Interest,0.06480000000000001
Today's Open,29.1
Volume Past Day,(Light)
