,MNST
Price/Earnings (TTM),45.15433
Price/Sales (TTM),8.97466
Price/Book (MRQ),7.99692
Price/Cash Flow (TTM),42.09492
5yr Low,47.61
5yr High,104.42
5yr Avg Return,0.11175000000000003
EPS Growth 5yr,0.1669887
Revenue Growth 5yr,0.1268873
Dividend Growth 5yr,
Short Int Current Month,4329724.0
Short Int Prev Month,5284362.0
Short Int Pct of Float,0.0117475
Days to Cover,1.48295
Float,368.5863
Shares Outstanding,521.7436
Institutions Holding Shares,1078.0
% Held by Institutions,0.672416
FCF Growth 5yr,-1.0795913572172566
