,MNST
% Below High,0.0101
% Held by Institutions,0.6724
52-Wk Range,['71.78 - 104.42']
Annual Dividend $,
Annual Dividend %,
Ask,105.0
Ask Size,100.0
Ask close,110.54
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,101.26
Bid Size,100.0
Bid close,97.25
Change Since Close,-0.53| |(-0.51%)
Closing Price,103.37
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.29
Ex-dividend Date,No dividend
Historical Volatility,0.3
Last (size),9.0
Last (time),1:00p ET 11/25/22
Last Trade,102.84
Market Cap,53.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",45.15
Prev Close,103.37
Shares Outstanding,521.7M
Short Interest,0.011699999999999999
Today's Open,
Volume,34.0
Volume 10-day Avg,2312383.0
Volume Past Day,(Light)
