,DH
Price/Earnings (TTM),
Price/Sales (TTM),5.59776
Price/Book (MRQ),1.85084
Price/Cash Flow (TTM),74.14116
5yr Low,9.53
5yr High,50.3
5yr Avg Return,-0.43134999999999996
Short Int Current Month,4759246.0
Short Int Prev Month,4974874.0
Short Int Pct of Float,0.126695
Days to Cover,3.50025
Float,51.92967
Shares Outstanding,105.0801
Institutions Holding Shares,160.0
% Held by Institutions,1.038893
FCF Growth 5yr,0.3864436447351321
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
