,TARS
Price/Earnings (TTM),
Price/Sales (TTM),27.95346
Price/Book (MRQ),2.2285
Price/Cash Flow (TTM),
5yr Low,10.8
5yr High,63.69
5yr Avg Return,0.2705
Short Int Current Month,1273562.0
Short Int Prev Month,1490735.0
Short Int Pct of Float,0.058261200000000006
Days to Cover,9.69949
Float,23.15426
Shares Outstanding,26.67219
Institutions Holding Shares,104.0
% Held by Institutions,0.730283
FCF Growth 5yr,-1.552706836997447
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
