,TARS
% Above Low,0.5407000000000001
% Held by Institutions,0.7303000000000001
52-Wk Range,['10.80 - 28.03']
Annual Dividend $,
Annual Dividend %,
Ask,16.65
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,
Bid,16.59
Bid Size,200.0
Day Change $,-0.29
Day Change %,-0.0171
Day High,17.05
Day Low,16.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.78
Ex-dividend Date,No dividend
Historical Volatility,0.684
Last (size),100.0
Last (time),3:57p ET 11/28/22
Market Cap,442.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,16.93
Price,16.64
Shares Outstanding,26.7M
Short Interest,0.0583
Today's Open,16.88
Volume Past Day,(Light)
