,HWM
% Below High,0.030600000000000002
% Held by Institutions,0.9174
52-Wk Range,['27.41 - 39.24']
Annual Dividend $,0.16
Annual Dividend %,0.0042
Ask,39.5
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.6
Bid,32.51
Bid Size,200.0
Closing Price,38.04
Day Change $,0.02
Day Change %,0.0005
Day High,38.25
Day Low,37.88
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",1.02
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.349
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,15.7B
"P/E Ratio (TTM, GAAP)",37.23
Prev Close,38.02
Shares Outstanding,413.7M
Short Interest,0.0159
Today's Open,38.07
Volume,713942.0
Volume 10-day Avg,2838200.0
Volume Past Day,(Light)
