,HWM
Price/Earnings (TTM),37.22806
Price/Sales (TTM),2.8956
Price/Book (MRQ),4.8939
Price/Cash Flow (TTM),22.54671
5yr Low,9.87
5yr High,39.24
5yr Avg Return,0.1364
EPS Growth 5yr,
Revenue Growth 5yr,-0.16696370000000002
Dividend Growth 5yr,-0.35560600000000003
Short Int Current Month,6544690.0
Short Int Prev Month,6438564.0
Short Int Pct of Float,0.0159269
Days to Cover,1.77158
Float,410.9192
Shares Outstanding,413.712
Institutions Holding Shares,742.0
% Held by Institutions,0.917358
FCF Growth 5yr,-5.699587004895416
