,CNO
% Below High,0.132
% Held by Institutions,0.9829000000000001
52-Wk Range,['16.56 - 26.74']
Annual Dividend $,0.56
Annual Dividend %,0.0241
Ask,24.0
Ask Size,100.0
B/A Ratio,11.0
B/A Size,1100x100
Beta,1.2
Bid,17.0
Bid Size,1100.0
Closing Price,23.21
Day Change $,0.17
Day Change %,0.0074
Day High,23.25
Day Low,23.11
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",3.92
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.34
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.92
Prev Close,23.04
Shares Outstanding,114.4M
Short Interest,0.0248
Today's Open,23.17
Volume,216383.0
Volume 10-day Avg,760844.0
Volume Past Day,(Light)
