,CNO
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.092741935483871
Growth 1yr High Est,-0.04313725490196074
Growth 1yr Consensus Est,-0.06793959519291587
Growth 2yr Low Est,-0.0463709677419355
Growth 2yr High Est,-0.02976534876245579
Growth 2yr Consensus Est,-0.038068158252195644
Growth 5yr Low Est,0.08110023041474651
Growth 5yr High Est,0.08539205089349736
Growth 5yr Consensus Est,0.08324614065412193
Growth 5yr Actual/Est,0.07439130994923662
Growth 3yr Historic,0.11758359149663494
