,MANH
Price/Earnings (TTM),70.52301
Price/Sales (TTM),10.4296
Price/Book (MRQ),38.97646
Price/Cash Flow (TTM),65.11245
5yr Low,35.2
5yr High,188.52
5yr Avg Return,0.2444333333333334
EPS Growth 5yr,-0.0007645
Revenue Growth 5yr,0.0188247
Dividend Growth 5yr,
Short Int Current Month,1261616.0
Short Int Prev Month,1232024.0
Short Int Pct of Float,0.0204976
Days to Cover,3.47421
Float,61.54857
Shares Outstanding,62.39684
Institutions Holding Shares,526.0
% Held by Institutions,0.979053
FCF Growth 5yr,
