,MANH
% Above Low,0.1674
% Held by Institutions,0.9791
52-Wk Range,['106.02 - 161.78']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,
Bid Size,
Closing Price,123.77
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.76
Ex-dividend Date,No dividend
Historical Volatility,0.44700000000000006
Last (size),183.0
Last (time),1:00p ET 11/25/22
Market Cap,7.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",70.52
Prev Close,123.77
Shares Outstanding,62.4M
Short Interest,0.020499999999999997
Today's Open,
Volume,115390.0
Volume 10-day Avg,258545.0
Volume Past Day,(Light)
