,VRDN
Price/Earnings (TTM),
Price/Sales (TTM),488.0715
Price/Book (MRQ),3.43991
Price/Cash Flow (TTM),
5yr Low,4.67
5yr High,160.5
5yr Avg Return,0.05171666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.0314871
Dividend Growth 5yr,
Short Int Current Month,2825973.0
Short Int Prev Month,2256680.0
Short Int Pct of Float,0.0734775
Days to Cover,5.82377
Float,39.68094
Shares Outstanding,40.24825
Institutions Holding Shares,133.0
% Held by Institutions,0.929871
FCF Growth 5yr,0.2589219298569068
