,VRDN
% Below High,0.1377
% Held by Institutions,0.9299
52-Wk Range,['9.47 - 26.22']
Annual Dividend $,
Annual Dividend %,
Ask,25.0
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.9
Bid,22.6
Bid Size,100.0
Closing Price,22.61
Day Change $,-0.2
Day Change %,-0.0088
Day High,23.31
Day Low,22.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.21
Ex-dividend Date,No dividend
Historical Volatility,0.802
Last (size),3500.0
Last (time),4:00p ET 11/28/22
Market Cap,910.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,22.81
Shares Outstanding,40.2M
Short Interest,0.0735
Today's Open,22.81
Volume,271994.0
Volume 10-day Avg,482951.0
Volume Past Day,(Light)
