,LYV
% Above Low,0.0524
% Held by Institutions,0.7031000000000001
52-Wk Range,['65.05 - 126.79']
Annual Dividend $,
Annual Dividend %,
Ask,69.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,59.52
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,68.46
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.75
Ex-dividend Date,No dividend
Historical Volatility,0.466
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,68.46
Market Cap,15.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",91.36
Prev Close,68.46
Shares Outstanding,230.9M
Short Interest,0.0742
Today's Open,
Volume,301.0
Volume 10-day Avg,3509915.0
Volume Past Day,(Light)
