,LYV
Price/Earnings (TTM),91.35796
Price/Sales (TTM),1.0472
Price/Book (MRQ),
Price/Cash Flow (TTM),18.9212
5yr Low,21.7
5yr High,127.75
5yr Avg Return,0.12616666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.0558448
Dividend Growth 5yr,
Short Int Current Month,11566508.0
Short Int Prev Month,12579449.0
Short Int Pct of Float,0.0742275
Days to Cover,3.99255
Float,155.8052
Shares Outstanding,230.8799
Institutions Holding Shares,834.0
% Held by Institutions,0.703086
FCF Growth 5yr,-0.1833034364271222
