,RMBL
% Above Low,0.0671
% Held by Institutions,0.42369999999999997
52-Wk Range,['6.63 - 43.69']
Annual Dividend $,
Annual Dividend %,
Ask,7.1
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.3
Bid,7.05
Bid Size,100.0
Day Change $,-0.025
Day Change %,-0.0034999999999999996
Day High,7.63
Day Low,7.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.01
Ex-dividend Date,No dividend
Historical Volatility,0.932
Last (size),100.0
Last (time),12:57p ET 11/28/22
Market Cap,114.7M
"P/E Ratio (TTM, GAAP)",2.36
Prev Close,7.1
Price,7.08
Shares Outstanding,16.2M
Short Interest,0.1133
Today's Open,7.11
Volume Past Day,(Light)
