,RMBL
Price/Earnings (TTM),2.36138
Price/Sales (TTM),0.05967
Price/Book (MRQ),0.23375
Price/Cash Flow (TTM),1.712
5yr Low,3.0
5yr High,219.6
5yr Avg Return,-0.08900000000000001
Short Int Current Month,1164324.0
Short Int Prev Month,1439674.0
Short Int Pct of Float,0.1133155
Days to Cover,3.93006
Float,10.22678
Shares Outstanding,16.14369
Institutions Holding Shares,96.0
% Held by Institutions,0.423742
FCF Growth 5yr,-0.7478167256482277
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
