,MCK
% Below High,0.045899999999999996
% Held by Institutions,0.8682
52-Wk Range,['215.27 - 401.78']
Annual Dividend $,2.16
Annual Dividend %,0.005600000000000001
Ask,399.14
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,372.0
Bid Size,100.0
Change Since Close,-11.26| |(-2.94%)
Closing Price,383.34
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",14.15
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.24100000000000002
Last (size),26.0
Last (time),5:00p ET 11/25/22
Last Trade,372.08
Market Cap,54.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",27.08
Prev Close,383.34
Shares Outstanding,141.8M
Short Interest,0.0175
Today's Open,
Volume,52.0
Volume 10-day Avg,1229138.0
Volume Past Day,(Light)
