,MCK
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.03714647530603621
Growth 1yr High Est,0.03676166873192899
Growth 1yr Consensus Est,0.0369540720189826
Growth 2yr Low Est,0.040754759834540244
Growth 2yr High Est,0.06997445986397244
Growth 2yr Consensus Est,0.05536460984925634
Growth 5yr Low Est,0.1599322857002461
Growth 5yr High Est,0.17477836624302534
Growth 5yr Consensus Est,0.16735532597163572
Growth 5yr Actual/Est,0.1595669260820114
Growth 3yr Historic,0.13192396114104932
