,SPTN
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.3647058823529412
Growth 1yr High Est,0.3114754098360655
Growth 1yr Consensus Est,0.33809064609450334
Growth 2yr Low Est,0.19097363083164298
Growth 2yr High Est,0.2161543715846994
Growth 2yr Consensus Est,0.2035640012081712
Growth 5yr Low Est,0.3344819580994887
Growth 5yr High Est,0.31910872166139165
Growth 5yr Consensus Est,0.3267953398804402
Growth 5yr Actual/Est,0.3591108098629014
Growth 3yr Historic,0.24298418972332012
