,SPTN
Price/Earnings (TTM),20.95814
Price/Sales (TTM),0.12108
Price/Book (MRQ),1.46617
Price/Cash Flow (TTM),7.61825
5yr Low,8.82
5yr High,37.75
5yr Avg Return,0.10076666666666666
EPS Growth 5yr,0.0615079
Revenue Growth 5yr,0.033864399999999996
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,1981231.0
Short Int Prev Month,2568023.0
Short Int Pct of Float,0.0580344
Days to Cover,5.86517
Float,34.16182
Shares Outstanding,35.27516
Institutions Holding Shares,296.0
% Held by Institutions,0.875963
FCF Growth 5yr,0.3123304403632731
