,SPTN
% Below High,0.1309
% Held by Institutions,0.8759999999999999
52-Wk Range,['23.74 - 37.75']
Annual Dividend $,0.84
Annual Dividend %,0.026000000000000002
Ask,32.84
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,32.78
Bid Size,200.0
Day Change $,0.45
Day Change %,0.0139
Day High,32.96
Day Low,32.08
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",1.54
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.34700000000000003
Last (size),100.0
Last (time),3:04p ET 11/28/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.96
Prev Close,32.36
Price,32.81
Shares Outstanding,35.3M
Short Interest,0.057999999999999996
Today's Open,32.15
Volume Past Day,(Light)
