,COLM
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.06991525423728806
Growth 1yr High Est,0.09278350515463929
Growth 1yr Consensus Est,0.08134937969596368
Growth 2yr Low Est,0.03495762711864403
Growth 2yr High Est,0.14544835635090458
Growth 2yr Consensus Est,0.09020299173477431
Growth 5yr Low Est,0.017478813559322015
Growth 5yr High Est,0.07272417817545229
Growth 5yr Consensus Est,0.045101495867387154
Growth 5yr Actual/Est,0.4243816657354091
Growth 3yr Historic,0.4063817958745495
