,COLM
% Below High,0.141
% Held by Institutions,0.5008
52-Wk Range,['65.02 - 103.74']
Annual Dividend $,1.2
Annual Dividend %,0.013500000000000002
Ask,104.89
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,64.75
Bid Size,100.0
Closing Price,89.11
Day Change $,0.62
Day Change %,0.006999999999999999
Day High,89.27
Day Low,86.09
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",5.34
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.359
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,5.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.7
Prev Close,88.49
Shares Outstanding,62.1M
Short Interest,0.0304
Today's Open,88.05
Volume,157304.0
Volume 10-day Avg,364017.0
Volume Past Day,(Light)
