,COLM
Price/Earnings (TTM),16.69805
Price/Sales (TTM),1.61635
Price/Book (MRQ),3.04946
Price/Cash Flow (TTM),12.02355
5yr Low,51.82
5yr High,114.98
5yr Avg Return,0.05296666666666667
EPS Growth 5yr,0.1443535
Revenue Growth 5yr,0.056334499999999996
Dividend Growth 5yr,0.0855176
Short Int Current Month,986757.0
Short Int Prev Month,1104486.0
Short Int Pct of Float,0.030350799999999997
Days to Cover,2.64316
Float,32.51501
Shares Outstanding,62.11363
Institutions Holding Shares,362.0
% Held by Institutions,0.50083
FCF Growth 5yr,0.8265249917880301
