,GBCI
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.02631578947368407
Growth 1yr High Est,-0.06375838926174493
Growth 1yr Consensus Est,-0.01872129989403043
Growth 2yr Low Est,0.035135916714864046
Growth 2yr High Est,0.0684792283081957
Growth 2yr Consensus Est,0.05180757251152987
Growth 5yr Low Est,0.054540675562707364
Growth 5yr High Est,0.09269824060435608
Growth 5yr Consensus Est,0.07361945808353172
Growth 5yr Actual/Est,0.07529549691721693
Growth 3yr Historic,0.049616465803403176
